     n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
   136,     1516,        841,      5672,      1534,         256,       3344
   137,     1536,        863,      5207,      1599,         252,       4300
   138,     1540,        857,      4471,      1589,         254,       5165
   139,     1553,        866,      5867,      1574,         253,       5248
   140,     1586,        889,      5843,      1603,         262,       5310
   141,     1596,        897,      5603,      1666,         259,       5701
   142,     1603,        894,      8870,      1680,         261,       9800
   143,     1613,        899,      8670,      1693,         259,       7463
   144,     1637,        915,      6602,      1734,         267,       6759
   145,     1655,        929,      6224,      1715,         265,       5929
   146,     1664,        931,      9076,      1802,         275,       4275
   147,     1667,        936,      7820,      1715,         275,       4530
   148,     1692,        943,      7805,      1763,         270,       5471
   149,     1703,        960,      3876,      1813,         287,       6520
   150,     1720,        960,      6185,      1799,         285,       5111
   151,     1733,        972,      8520,      1842,         278,       3424
   152,     1751,        978,     10352,      1855,         282,       8467
   153,     1770,        984,      6293,      1930,         286,       4274
   154,     1790,        999,      5647,      1936,         288,       3880
   155,     1785,        994,      5645,      1983,         286,       4000
   156,     1792,        998,      7280,      1867,         293,       4812
   157,     1822,       1018,      9368,      1937,         289,       8691
   158,     1844,       1032,      8259,      2008,         297,       5059
   159,     1854,       1038,      6483,      1982,         298,      11436
   160,     1854,       1039,      6598,      2027,         301,       6232
   161,     1868,       1036,      6007,      1991,         296,      11462
   162,     1890,       1057,      6528,      1925,         315,       4322
   163,     1904,       1061,      5083,      1913,         317,       4801
   164,     1915,       1068,      7646,      2039,         315,       7499
   165,     1925,       1070,      9073,      2029,         329,       5165
   166,     1936,       1072,      7014,      2008,         309,       6673
   167,     1964,       1089,      7710,      2035,         319,       5858
   168,     1975,       1103,      9688,      2118,         319,       5311
   169,     1984,       1109,      4260,      2100,         330,       4832
   170,     2004,       1116,     11020,      2093,         333,      11181
   171,     2022,       1128,     12630,      2121,         337,       7916
   172,     2027,       1132,      8940,      2150,         332,      11972
   173,     2043,       1135,      5674,      2152,         324,       5009
   174,     2058,       1144,     10245,      2133,         343,      11986
   175,     2078,       1155,      6443,      2143,         346,       6591
   176,     2090,       1166,     12596,      2161,         348,       6431
   177,     2110,       1177,      6360,      2241,         341,       6069
   178,     2125,       1186,      5695,      2308,         344,       8111
   179,     2128,       1186,      5877,      2269,         346,       5254
   180,     2148,       1201,      5973,      2235,         355,       5404
   181,     2174,       1216,      6184,      2326,         349,       5103
   182,     2190,       1226,      7060,      2292,         348,       8600
   183,     2192,       1224,      7100,      2243,         355,       7196
   184,     2214,       1230,      5715,      2293,         360,       5937
   185,     2223,       1235,      5444,      2349,         353,       6028
   186,     2252,       1253,      5408,      2411,         362,       5204
   187,     2254,       1253,      7885,      2404,         363,       7428
   188,     2273,       1263,      7569,      2437,         359,       7721
   189,     2290,       1280,      6516,      2451,         363,       5095
   190,     2298,       1281,      5596,      2376,         370,       6721
   191,     2309,       1288,      6180,      2434,         368,       5948
   192,     2326,       1295,      7169,      2478,         373,       7053
   193,     2346,       1309,      8948,      2451,         374,       6307
   194,     2358,       1307,      6503,      2577,         356,       6767
   195,     2373,       1312,      8018,      2581,         368,       5879
   196,     2409,       1346,      8320,      2530,         397,       7072
   197,     2420,       1348,     10377,      2481,         378,       6746
   198,     2424,       1354,      6945,      2488,         389,       6775
   199,     2441,       1361,      6257,      2709,         383,       7298
   200,     2454,       1374,      6395,      2700,         391,       8684
   201,     2486,       1393,      9844,      2595,         398,       8636
   202,     2497,       1393,      9052,      2649,         399,       8335
   203,     2511,       1402,      7605,      2560,         393,       6054
   204,     2534,       1418,      8846,      2763,         396,      12638
   205,     2543,       1414,     10737,      2735,         393,       9904
   206,     2565,       1425,      6690,      2735,         397,       7945
   207,     2553,       1419,      8000,      2656,         419,       9039
   208,     2584,       1440,      7709,      2697,         406,       9063
   209,     2598,       1440,      9026,      2826,         405,       9411
   210,     2621,       1461,      7385,      2769,         410,       6817
   211,     2632,       1472,      7971,      2784,         399,       9443
   212,     2652,       1483,     11807,      2693,         427,       8375
   213,     2669,       1489,     11547,      2851,         420,       7933
   214,     2676,       1494,      7335,      2726,         422,       5284
   215,     2698,       1509,     10873,      2917,         419,       6233
   216,     2709,       1507,     13459,      2831,         433,      12814
   217,     2712,       1506,      6820,      2849,         425,       6783
   218,     2736,       1514,      7022,      2890,         436,       7756
   219,     2749,       1523,      8009,      2906,         439,       7396
   220,     2775,       1542,      7754,      2927,         441,       7498
   221,     2796,       1554,      8484,      2950,         437,      11859
   222,     2804,       1557,     14627,      2917,         458,      13006
   223,     2831,       1575,     13413,      3005,         438,      12229
   224,     2832,       1577,     14902,      2892,         448,      14304
   225,     2849,       1591,     13737,      3005,         446,       8998
   226,     2863,       1588,     12625,      3178,         445,      13167
   227,     2888,       1609,     10314,      3242,         444,      10282
