   n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
 138,     1621,        945,      9935,      1057,         185,       5696
 139,     1637,        954,     10308,      1118,         194,       5941
 140,     1649,        961,     10057,      1131,         200,       6141
 141,     1665,        965,     10269,      1133,         196,       6195
 142,     1680,        976,     10241,      1139,         190,       5928
 143,     1695,        984,     10031,      1105,         194,       4749
 144,     1710,        991,     10244,      1116,         198,       5937
 145,     1728,       1004,      7556,      1143,         195,       4165
 146,     1742,       1015,      3836,      1158,         195,       4364
 147,     1760,       1020,      9068,      1135,         193,       4017
 148,     1772,       1028,      5917,      1132,         194,       3888
 149,     1785,       1034,      5425,      1142,         194,       2347
 150,     1803,       1047,     11021,      1149,         193,       6329
 151,     1822,       1055,     11740,      1158,         200,       5338
 152,     1837,       1069,      6131,      1168,         203,       6914
 153,     1852,       1070,      8256,      1182,         204,       5476
 154,     1869,       1084,      5573,      1212,         217,       3144
 155,     1882,       1088,      4413,      1218,         216,       4314
 156,     1900,       1097,      6590,      1228,         217,       2978
 157,     1917,       1108,      5159,      1287,         208,       2897
 158,     1930,       1122,      5087,      1337,         206,       3554
 159,     1943,       1122,      5806,      1249,         218,       2681
 160,     1961,       1130,      5635,      1255,         218,       2580
 161,     1979,       1142,      5094,      1273,         229,       4019
 162,     1993,       1147,      7194,      1281,         231,       4402
 163,     2007,       1160,      6575,      1284,         221,       2811
 164,     2025,       1173,      6686,      1295,         225,       2738
 165,     2039,       1179,      4929,      1303,         226,       3671
 166,     2052,       1187,      7151,      1313,         228,       2830
 167,     2067,       1193,      5481,      1318,         232,       2810
 168,     2082,       1203,      6539,      1330,         235,       2921
 169,     2101,       1209,      4972,      1361,         229,       3131
 170,     2115,       1219,      6274,      1369,         231,       2872
 171,     2130,       1229,      5798,      1454,         228,       4813
 172,     2145,       1238,      8861,      1464,         228,       3261
 173,     2163,       1240,      5243,      1386,         236,       4066
 174,     2177,       1254,      5449,      1386,         229,       4101
 175,     2192,       1263,      4822,      1413,         239,       3239
 176,     2208,       1269,      5545,      1416,         239,       2950
 177,     2220,       1279,      5573,      1424,         234,       2957
 178,     2236,       1284,      5604,      1408,         238,       2725
 179,     2252,       1298,      5580,      1425,         242,       2896
 180,     2269,       1310,      6432,      1435,         245,       2944
 181,     2285,       1312,      4936,      1443,         245,       3138
 182,     2298,       1319,      5122,      1450,         245,       2872
 183,     2313,       1327,      5994,      1485,         249,       2939
 184,     2329,       1336,      5542,      1496,         251,       3137
 185,     2347,       1348,      5379,      1490,         251,       3062
 186,     2360,       1356,      5874,      1500,         253,       4990
 187,     2380,       1362,      6630,      1628,         247,       3298
 188,     2393,       1376,      6321,      1652,         254,       7617
 189,     2410,       1383,      5301,      1587,         255,       3842
 190,     2428,       1394,      5716,      1557,         261,       4559
