    n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
  330,     4746,       2681,     11731,      2966,         251,      12328
  331,     4765,       2691,     21372,      2949,         254,       9085
  332,     4779,       2702,     22814,      2955,         253,      10970
  333,     4799,       2710,     14446,      2972,         250,       9066
  334,     4809,       2712,     14210,      2985,         252,       7870
  335,     4834,       2725,     14104,      3142,         259,       8925
  336,     4848,       2733,     11089,      3131,         259,       6198
  337,     4875,       2749,     13944,      3007,         259,       6422
  338,     4882,       2759,     11475,      3007,         252,       5663
  339,     4903,       2763,     13037,      3046,         250,       5941
  340,     4921,       2775,     12466,      3062,         252,       7029
  341,     4939,       2785,     12161,      3160,         254,       7845
  342,     4956,       2795,     11381,      3153,         257,       9002
  343,     4977,       2807,     15163,      3225,         264,       6287
  344,     4996,       2819,     13854,      3247,         267,       6588
  345,     5005,       2823,     16230,      3177,         264,      13038
  346,     5024,       2831,     14321,      3209,         261,       6840
  347,     5047,       2842,     12670,      3096,         264,       5557
  348,     5060,       2852,     11323,      3112,         261,       9698
  349,     5085,       2862,     15396,      3138,         264,      15223
  350,     5098,       2874,     18595,      3159,         257,      13181
  351,     5112,       2882,     15630,      3350,         255,       6956
  352,     5131,       2898,     13261,      3356,         260,       8792
  353,     5147,       2904,     11883,      3143,         265,       6511
  354,     5159,       2912,     13556,      3156,         267,      15647
  355,     5183,       2923,     24251,      3178,         278,      12597
  356,     5199,       2930,     16610,      3193,         274,      14013
  357,     5220,       2938,     11921,      3251,         272,      10827
  358,     5234,       2950,     22631,      3254,         268,      10060
  359,     5250,       2955,     12418,      3293,         274,      10036
  360,     5266,       2969,     26442,      3268,         283,      10497
  361,     5285,       2975,     15533,      3399,         277,       6294
  362,     5303,       2983,     26771,      3403,         273,      12417
  363,     5324,       2995,     20185,      3456,         280,       6605
  364,     5341,       3003,     12611,      3465,         281,       6913
  365,     5356,       3015,     23604,      3295,         285,       9112
  366,     5378,       3024,     21356,      3304,         284,      11484
  367,     5397,       3032,     21928,      3326,         277,       8507
  368,     5409,       3043,     14117,      3337,         278,       7799
  369,     5426,       3053,     12569,      3420,         281,       6428
  370,     5450,       3069,     13817,      3356,         280,       6294
  371,     5467,       3079,     14328,      3415,         279,       6920
  372,     5486,       3082,     12503,      3423,         282,       6949
  373,     5502,       3095,     19083,      3455,         283,       9005
  374,     5516,       3103,     18932,      3463,         285,       9700
  375,     5535,       3113,     19379,      3420,         301,      10762
  376,     5551,       3122,     12931,      3405,         297,       6757
  377,     5565,       3130,     13956,      3576,         281,       6784
  378,     5585,       3140,     14353,      3586,         283,       7300
  379,     5600,       3148,     14181,      3744,         293,       9200
  380,     5618,       3157,     12703,      3787,         291,      13824
  381,     5636,       3169,     19740,      3501,         296,       6443
  382,     5650,       3177,     12871,      3496,         300,       9714
  383,     5673,       3191,     14549,      3539,         296,       9008
  384,     5686,       3197,     12689,      3561,         294,       7537
  385,     5706,       3212,     14492,      3551,         299,       6671
  386,     5730,       3225,     14153,      3549,         299,       7274
  387,     5742,       3225,     15102,      3574,         296,       7323
  388,     5756,       3233,     14476,      3573,         296,      10342
  389,     5775,       3245,     16764,      3631,         296,       9610
  390,     5798,       3264,     15516,      3663,         294,       9279
  391,     5812,       3266,     25770,      3568,         308,       8767
  392,     5830,       3276,     13204,      3589,         304,       6927
  393,     5849,       3284,     13118,      3572,         299,       7087
  394,     5864,       3295,     14002,      3588,         302,      10885
  395,     5888,       3306,     14092,      3605,         294,       6944
  396,     5898,       3320,     20151,      3614,         297,      12056
  397,     5921,       3328,     17014,      3642,         309,       7551
  398,     5938,       3341,     16544,      3665,         307,       6813
  399,     5949,       3336,     15736,      3696,         309,       7534
  400,     5968,       3352,     16410,      3686,         309,       6797
  401,     5985,       3364,     17157,      3721,         312,      12306
  402,     6003,       3379,     13688,      3775,         313,       9007
  403,     6025,       3385,     13505,      3729,         309,       7521
  404,     6038,       3395,     24149,      3744,         312,       9056
  405,     6060,       3405,     15941,      3720,         317,      10430
  406,     6077,       3416,     15333,      3719,         311,       8058
  407,     6092,       3422,     14848,      3869,         314,      12077
  408,     6109,       3434,     13065,      3908,         315,       7325
  409,     6126,       3440,     14607,      3887,         310,       9334
  410,     6149,       3451,     13323,      3846,         318,      10585
  411,     6166,       3465,     15314,      4051,         315,       7867
  412,     6177,       3469,     17400,      4007,         318,       9329
  413,     6199,       3483,     14543,      3849,         319,       8952
  414,     6210,       3489,     15556,      3825,         319,       8942
  415,     6234,       3499,     18717,      3806,         319,       8619
  416,     6250,       3515,     17020,      3853,         314,       7877
  417,     6273,       3525,     14417,      3927,         324,       7544
  418,     6287,       3532,     16817,      3863,         319,       7970
  419,     6307,       3542,     14764,      4132,         322,       7815
  420,     6319,       3542,     15057,      4160,         325,       9817
  421,     6341,       3556,     14087,      4137,         327,      10570
  422,     6358,       3566,     15959,      4154,         326,       7688
  423,     6378,       3584,     16077,      4086,         316,       7514
  424,     6389,       3590,     16047,      4091,         319,       7919
  425,     6412,       3597,     15528,      3912,         317,       7765
  426,     6429,       3613,     21629,      3937,         315,       8019
  427,     6446,       3619,     20220,      3946,         326,       7691
  428,     6462,       3632,     18979,      3977,         334,      17926
  429,     6481,       3644,     24224,      4071,         330,      10561
