  n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time
 83,      798,        450,      1724,       845,         139,       2203,          1933,            1855,           7255,          3403,              79,           3723
 84,      809,        462,      2074,       910,         141,       1956,          1938,            1859,           7404,          3486,              79,           3522
 85,      827,        474,      2042,       933,         140,       1744,          1983,            1903,           7603,          3570,              79,           3672
 86,      835,        472,      1867,       940,         147,       2700,          2010,            1929,           8615,          3655,              81,           3750
 87,      858,        486,      1827,       945,         151,       1762,          2055,            1973,           7927,          3741,              83,           4026
 88,      862,        494,      2200,       983,         148,       2119,          2094,            2011,           7849,          3828,              85,           5225
 89,      877,        497,      1945,       981,         160,       1888,          2130,            2046,           7838,          3916,              84,           7496
 90,      892,        509,      2334,       993,         153,       2184,          2185,            2100,           7922,          4005,              87,           5517
 91,      906,        513,      2377,      1010,         157,       2243,          2198,            2112,           9287,          4095,              85,           6847
 92,      919,        522,      1988,      1020,         159,       2198,          2212,            2125,           8535,          4186,              88,           5902
 93,      925,        524,      2114,      1001,         163,       2189,          2255,            2167,           8757,          4278,              88,           5931
 94,      942,        531,      2069,      1004,         165,       2496,          2295,            2206,           8885,          4371,              89,           5904
 95,      958,        540,      2141,      1088,         160,       2211,          2303,            2213,           8254,          4465,              92,          10576
 96,      969,        547,      6416,      1059,         169,       4675,          2379,            2288,           8886,          4560,              93,           4708
 97,      985,        558,      5986,      1043,         168,       5979,          2421,            2329,          16650,          4656,              92,           5360
 98,      997,        565,      2163,      1085,         167,       3265,          2517,            2424,          14387,          4753,              90,           8064
 99,     1011,        571,      2905,      1068,         165,       6213,          2602,            2508,          19544,          4851,              94,           4660
100,     1019,        578,      3643,      1081,         174,       3068,          2664,            2569,          13587,          4950,              97,           7979
